product,date,title,rating,body
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on December 14, 2018",Glorified Webcam,2.0,"I bought the Furbo as a birthday gift for my boyfriend who is absolutely obsessed with his dog. I figured we were getting a screaming deal since I bought it on Prime Day 2018 for an ""unheard of price"" (according to Furbo) of $199 – $100 off. The price has now fluctuated within a few dollars of $199 since Prime Day in July. I digress. Regardless, we were both super jazzed that we could check in on the pup, talk to him AND toss him a few treats. Now, having had it for a few months, we can honestly say that it wasn't really worth the money – here's why. You might be able to see your pup, but the video quality is quite grainy and on par with a 90's webcam which is largely disappointing. The sound detection of barking is pretty spot on; however, the mic volume is very poor, so my dog can't hear me when I tune in to the Furbo, making it a very impractical feature. We do really enjoy the treat dispenser function (definite plus). Understandably, the treat dispenser is only meant to hold a particular, round treat, so that never bugged me, but I know bugs others who use very specific treats with their pets. Our biggest frustration with the Furbo, however, is the notifications we now have to pay extra for (what Furbo now calls the Dog Nanny). Previously a free feature, notifications like when your dog is being active (or for many of us, when your dog is getting into things s/he shouldn't), now come at a additional monthly subscription fee. Our two cents? Save your money, skip the Furbo and opt for a webcam."
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on August 15, 2018",Recieved Used Item!,1.0,Extremely disappointed. I recieved a Furbo that clearly is a return. The inside was dirty from it being used and the cables were unwrapped. I paid almost $300 Canadian for a brand new product only to recieved a used one and now I have to go through the hassle of returning it. Do not recommend at all!
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on May 26, 2018",Furbo made miracle happen for me,5.0,"I’ve been using furbo for 2.5 weeks now. It has done so much for me!! I have a maltipoo who has been having to stay at my parents’ place when I moved out because when I tried to keep him at my small apartment, he barks all day long cuz he gets bored out of his mind when I’m at work all day. I couldn’t keep him at my place cuz neighbours started to complain and the strata manager even gave me warnings about how he has to call SPCA if it continues. It took my baby about a week to adjust to furbo. He was barking at it everytime I tried to interact with him through it in the first week. I only gave him treats through furbo when I see that he is quiet and has calmed down. The next week he was surprisingly adjusting to it very well, barely barked and I could talk to him through furbo and give him treats without him barking at all! I was so proud of him!! Hopefully in the next weeks to come he will continue to behave and I can continue to keep him at my place with the help of furbo!The only small issue I had with furbo was the time on the screen was incorrect even though I had selected the right time zone (which was resolved really quickly with great customer service by email). Just for your information, the treat dispenser always dispenses 2-3 treats at a time instead of just one which I wasn’t expecting. I bought one of the recommended treats on their site which was Dog for Dog mini treats. Another thing is be careful where you aim the treats, they don’t always shoot out into the exact same spot so if it goes under a furniture, your dog will not forget, it will bark at it until the treat grows legs and comes walking out on its own (in the dogs mind) since my apartment is small, I can’t place furbo where ever I want to to avoid it being tossed under furniture. I’ve placed obstructions like cardboard boxes under the furniture to avoid it from rolling in.But regardless, these things are minor to me because what furbo has done for me is so much greater in comparison to them!Because of furbo, I can actually keep my baby with me everyday and see him every time I come home from work!————-— Update —————-I’ve been using furbo for over half a year now and I still recommend the product. I am just updating you in some glitches that I’ve encountered since using furbo.Over the months there has been some updates on furbo’s system and I’ve found that the camera lags more often after the updates so I’ve had to switch to the lowest resolution now and then. Some days, the in and out of the audio is malfunctioning so it will not notify me if my dog was barking. When that happens, if I don’t unplug and replug furbo, it will continue to malfunction. It’s happened to me about 4 times since I’ve had furbo.I have faith that furbo will improve on these things just because of their great customer service and that is why I still recommend furbo :)———————Update————————I’ve been using Furbo for about a year and a half now and I’ve still been recommending this product to people just because of how grateful I am of what furbo has given me. I came across another review that the mic feature is very poor as I was showing a friend of mine this product on amazon. I just want to say I personally think this feature is decent. From time to time I actually talk to my boyfriend and dog at home when I’m out using furbo so quality of the sound is not an issue for us. My dog has never not heard me whenever I called for him on furbo. He always comes running when he hears me on furbo because he thinks he might be getting a treat!Lastly, the furbo “nanny” feature (with bonus features of intruder alert, selfie alert and your dog being active alert etc) has always been a bonus feature. There was a period in time when everyone got a free trial of the furbo nanny and had a choice if they wanted to proceed with paying monthly for the special features. I simply ignored it and they’re not charging me any fees for it. I am happy with their barking alert, mic and treat toss features."
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on November 28, 2018","I paid for a cool concept, not a functional product",1.0,"I had REALLY high hopes for this product since the concept seemed to be interesting and useful. When setting it up it took a few tries for it to start connected to our wifi, which isn't a big deal on it's own, trying to use it for a few days on the other hand just adds to the frustration of the product. The concept of paying for the nanny aspect in the future is baffling to me, since the product retails for $299. The camera quality is bad even in good lighting, the live stream is very choppy, delayed, and the app keeps telling me to low the video quality from 720p--- my internet is more than qualified to handle this product. The app either glitches and closes or just flat out refuses to play any 10 sec clips to sends me a notification for. Half of my attempted uses involve the app not even allowing me to view in real time due to an error that closing completely, restarting or uninstalling/reinstalling doesn't fix.When it does 'work' and I get to view my dogs being 'active', it's never when he gets up or plays, its always as hes jumping back onto the sofa to lay down. Last night I had 15 notifications/10 sec clips of my one dog laying down... out of 4 animals that are always in that one room that's all it captured? Hardly worth hundreds of dollars.I'm not sure how anyone could endorse such a pricey product knowing it could be 90% better."
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on December 10, 2017","5/5 Super fun, amazing dog camera",5.0,"Amazing purchase!! I love being able to check in on my dog and cat when I'm not home, and they love getting treats when we're not home. The set up was super easy and I had no issues connecting to the Furbo my wifi or to the app on my phone (total process took 5-10 minutes), and the power cord is quite long which is super useful if you want to place the Furbo somewhere that isn't right beside an outlet. I used training treats for the Furbo that I had at home (I think most training treats would work as they tend to be smaller) and it's super fun. He got more treats than usual the first night because it was so much fun tossing the treats and seeing him wait by the Furbo. I'm going to have to ease up on this, lest he becomes too chunky...I've attached some pictures during the day and at night and as you can see, the video quality is great. So far the cat hasn't been quick enough to get any treats since the dog is so fast (sidenote: the only time the dog is fast is when food is involved), but maybe one day... All in all, 5/5 stars!"
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on January 18, 2019",There are better alternatives!,1.0,"The Furbo definitely works, but not well. The camera quality is great but the the real kicker is that you can’t use it. When the camera is on the highest quality setting the “live” footage is trash, it’s super choppy. The only way to get fluent footage is for the Furbo to be on the lowest camera quality setting.I could almost stand by this product if it wasn’t for the price, 300$ is ridiculous. A way better alternative to this is an app called “cloud baby monitor” which is roughly 6$ and is a one time purchase and has no hidden fees (this app is intended to be used on babies but works for this purpose). I open the app on my iPad and leave it at home with the dog and open the app on my iPhone wherever I happen to be and watch him. Sure the app can’t lauch treats at your dog, save footage or has nightvision but if you leave the a light on and leave your dog with a Kong here is no difference. Also on the app you can get sent noise and motion alterts and choose the sensitivity, this replaces bark alterts. The app also has two way talk and can play lullabies."
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on December 24, 2017",One of the best products I own,5.0,"Excellent camera. Works great as a security camera as well. When dog starts barking you can log in and see what is going on. Reading other reviews..it did take about 4 or 5 times in row typing in my wifi password for the app to connect with furbo for initial setup. Wasn't a big deal. Have patience it is a signal trying to connect.Note: If you have a smart dog, mine learned in 2 days.....if I bark nonstop, this thing will shoot out treats for me. I had to switch my thinking and give my GSP treats when he is relaxed and calm. Lol.Ps. Hilarious part is the kids know we will get alerts on our phones. It sets off the senor notification if you leave it turned on when you are home. We chose to let the kids think it is on all the time. No brothers arguing and yelling in the house now. Bahaha."
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on April 11, 2019",Great untill the Trial runs out!,1.0,Paid almost $300.00 for the Furbo when it first came out. They have now changed it to a very expensive monthly payment system to keep most of the features operating.Would not have bought had I known.
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on October 25, 2017",Helps with Separation Anxiety,5.0,"My dog has a bit of separation anxiety and would howl throughout the day.  With this, I get a notification that she's barking, I can throw her a treat and talk to her.  Whether or not she knows it's me, it does break the panic and then she settles back down.  It's a great peace of mind for me.  I had some problems at first with lag but I had placed it where I didn't have good wifi.  Once I fixed that, the streaming works great.  I really like this product.  It was easy to set up and works well."
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on September 6, 2019",Useless unless you pay monthly,1.0,"Without the monthly subscription camera isn’t good at all. It only allows your to see certain activities that you dog did instead allowing the access to the full daily footage. And it only records those activities for about 15 seconds. So when my dog destroyed half of my living room, I got to see only 15 seconds of it. I just found it very disappointing that a product this expensive would provide such low productivity (unless you want to pay more monthly). Definitely returning this."
